lng,lat
-116,47
-116,48
-117,33
-117,34
-117,35
-117,36
-117,37
-117,38
-117,39
-117,40
-117,41
-117,42
-117,43
-117,44
-117,45
-117,46
-117,47
-117,48
-118,33
-118,34
-118,35
-118,36
-118,37
-118,38
-118,39
-118,40
-118,41
-118,42
-118,43
-118,44
-118,45
-118,46
-118,47
-118,48
-119,34
-119,35
-119,36
-119,37
-119,38
-119,39
-119,40
-119,41
-119,42
-119,43
-119,44
-119,45
-119,46
-119,47
-119,48
-120,34
-120,35
-120,36
-120,37
-120,38
-120,39
-120,40
-120,41
-120,42
-120,43
-120,44
-120,45
-120,46
-120,47
-120,48
-121,35
-121,36
-121,37
-121,38
-121,39
-121,40
-121,41
-121,42
-121,43
-121,44
-121,45
-121,46
-121,47
-121,48
-122,36
-122,37
-122,38
-122,39
-122,40
-122,41
-122,42
-122,43
-122,44
-122,45
-122,46
-122,47
-122,48
-123,38
-123,39
-123,40
-123,41
-123,42
-123,43
-123,44
-123,45
-123,46
-123,48
-124,39
-124,40
-124,41
-124,42
-124,43
-124,44
-124,45
-124,46
-124,47
-69,44
-69,45
-69,46
-70,44
-70,45
-70,46
-71,43
-71,44
-71,45
-72,41
-72,42
-72,43
-72,44
-73,41
-73,42
-73,43
-73,44
-74,41
-74,42
-74,43
-74,44
-75,39
-75,40
-75,41
-75,42
-75,43
-75,44
-76,38
-76,39
-76,40
-76,41
-76,42
-76,43
-76,44
-77,35
-77,36
-77,37
-77,38
-77,39
-77,40
-77,41
-77,42
-77,43
-78,34
-78,35
-78,36
-78,37
-78,38
-78,39
-78,40
-78,41
-78,42
-78,43
-79,34
-79,35
-79,36
-79,37
-79,38
-79,39
-79,40
-79,41
-79,42
-79,43
-80,33
-80,34
-80,35
-80,36
-80,37
-80,38
-80,39
-80,40
-80,41
-80,42
-81,25
-81,26
-81,27
-81,32
-81,33
-81,34
-81,35
-81,36
-81,37
-81,38
-81,39
-81,40
-81,41
-82,26
-82,27
-82,28
-82,29
-82,30
-82,31
-82,32
-82,33
-82,34
-82,35
-82,36
-82,37
-82,38
-82,39
-82,40
-82,41
-83,28
-83,29
-83,30
-83,31
-83,32
-83,33
-83,34
-83,35
-83,36
-83,37
-83,38
-83,39
-83,40
-83,41
-83,43
-83,44
-84,30
-84,31
-84,32
-84,33
-84,34
-84,35
-84,36
-84,37
-84,38
-84,39
-84,40
-84,41
-84,42
-84,43
-84,44
-84,45
-85,30
-85,31
-85,32
-85,33
-85,34
-85,35
-85,36
-85,37
-85,38
-85,39
-85,40
-85,41
-85,42
-85,43
-85,44
-85,45
-86,30
-86,31
-86,32
-86,33
-86,34
-86,35
-86,36
-86,37
-86,38
-86,39
-86,40
-86,41
-86,42
-86,43
-86,44
-86,45
-86,46
-87,30
-87,31
-87,32
-87,33
-87,34
-87,35
-87,36
-87,37
-87,38
-87,39
-87,40
-87,41
-87,42
-87,43
-87,44
-87,45
-87,46
-87,47
-88,30
-88,31
-88,32
-88,33
-88,34
-88,35
-88,36
-88,37
-88,38
-88,39
-88,40
-88,41
-88,42
-88,43
-88,44
-88,45
-88,46
-88,47
-89,30
-89,31
-89,32
-89,33
-89,34
-89,35
-89,36
-89,37
-89,38
-89,39
-89,40
-89,41
-89,42
-89,43
-89,44
-89,45
-89,46
-89,47
-90,29
-90,30
-90,31
-90,32
-90,33
-90,34
-90,35
-90,36
-90,37
-90,38
-90,39
-90,40
-90,41
-90,42
-90,43
-90,44
-90,45
-90,46
-90,47
-91,29
-91,30
-91,31
-91,32
-91,33
-91,34
-91,35
-91,36
-91,37
-91,38
-91,39
-91,40
-91,41
-91,42
-91,43
-91,44
-91,45
-91,46
-91,47
-92,30
-92,31
-92,32
-92,33
-92,34
-92,35
-92,36
-92,37
-92,38
-92,39
-92,40
-92,41
-92,42
-92,43
-92,44
-92,45
-92,46
-92,47
-93,30
-93,31
-93,32
-93,33
-93,34
-93,35
-93,36
-93,37
-93,38
-93,39
-93,40
-93,41
-93,42
-93,43
-93,44
-93,45
-93,46
-93,47
-94,30
-94,31
-94,32
-94,33
-94,34
-94,35
-94,36
-94,37
-94,38
-94,39
-94,40
-94,41
-94,42
-94,43
-94,44
-94,45
-94,46
-94,47
-94,48
-95,30
-95,31
-95,32
-95,33
-95,34
-95,35
-95,36
-95,37
-95,38
-95,39
-95,40
-95,41
-95,42
-95,43
-95,44
-95,45
-95,46
-95,47
-95,48
-96,29
-96,30
-96,31
-96,32
-96,33
-96,34
-96,35
-96,36
-96,37
-96,38
-96,39
-96,40
-96,41
-96,42
-96,43
-96,44
-96,45
-96,46
-96,47
-96,48
-97,28
-97,29
-97,30
-97,31
-97,32
-97,33
-97,34
-97,35
-97,36
-97,37
-97,38
-97,39
-97,40
-97,41
-97,42
-97,43
-97,44
-97,45
-97,46
-97,47
-97,48
-98,26
-98,27
-98,28
-98,29
-98,30
-98,31
-98,32
-98,33
-98,34
-98,35
-98,36
-98,37
-98,38
-98,39
-98,40
-98,41
-98,42
-98,43
-98,44
-98,45
-98,46
-98,47
-98,48
-99,26
-99,27
-99,28
-99,29
-99,30
-99,31
-99,32
-99,33
-99,34
-99,35
-99,36
-99,37
-99,38
-99,39
-99,40
-99,41
-99,42
-99,43
-99,44
-99,45
-99,46
-99,47
-99,48
