Station,Period Start,Period End,Time of High Tide,Elevation (Meters) Above Datum,Tide Type,Duration (Hours)
8575512,1951-06-10 11:00,1951-06-10 18:00,1951-06-10 14:00,0.166,--,7.0
8575512,1951-06-11 16:00,1951-06-11 16:00,1951-06-11 16:00,0.014,--,0.0
8575512,1951-06-12 00:00,1951-06-12 20:00,1951-06-12 15:00,0.288,--,20.0
8575512,1951-06-13 01:00,1951-06-14 15:00,1951-06-14 03:00,0.471,--,38.0
8575512,1951-06-16 05:00,1951-06-16 10:00,1951-06-16 08:00,0.105,--,5.0
8575512,1951-06-17 07:00,1951-06-17 10:00,1951-06-17 09:00,0.044,--,3.0
8575512,1951-06-18 07:00,1951-06-18 11:00,1951-06-18 09:00,0.136,--,4.0
8575512,1951-06-19 08:00,1951-06-19 11:00,1951-06-19 10:00,0.075,--,3.0
8575512,1951-06-20 09:00,1951-06-20 13:00,1951-06-20 11:00,0.105,--,4.0
8575512,1951-06-21 10:00,1951-06-21 13:00,1951-06-21 12:00,0.075,--,3.0
8575512,1951-06-22 11:00,1951-06-22 14:00,1951-06-22 13:00,0.044,--,3.0
8575512,1951-06-23 10:00,1951-06-23 16:00,1951-06-23 13:00,0.166,--,6.0
8575512,1951-06-27 04:00,1951-06-27 06:00,1951-06-27 06:00,0.014,--,2.0
8575512,1951-07-01 07:00,1951-07-01 10:00,1951-07-01 08:00,0.075,--,3.0
8575512,1951-07-05 10:00,1951-07-05 12:00,1951-07-05 11:00,0.044,--,2.0
8575512,1951-07-09 13:00,1951-07-09 13:00,1951-07-09 13:00,0.014,--,0.0
8575512,1951-07-19 10:00,1951-07-19 12:00,1951-07-19 12:00,0.014,--,2.0
8575512,1951-07-29 08:00,1951-07-29 08:00,1951-07-29 08:00,0.014,--,0.0
8575512,1951-08-03 07:00,1951-08-03 14:00,1951-08-03 11:00,0.166,--,7.0
8575512,1951-08-03 21:00,1951-08-03 22:00,1951-08-03 21:00,0.044,--,1.0
8575512,1951-08-07 11:00,1951-08-07 14:00,1951-08-07 13:00,0.044,--,3.0
8575512,1951-08-10 01:00,1951-08-10 05:00,1951-08-10 04:00,0.075,--,4.0
8575512,1951-08-15 09:00,1951-08-15 09:00,1951-08-15 09:00,0.014,--,0.0
8575512,1951-08-19 23:00,1951-08-20 01:00,1951-08-20 01:00,0.044,--,2.0
8575512,1951-08-22 01:00,1951-08-22 01:00,1951-08-22 01:00,0.044,--,0.0
8575512,1951-08-27 07:00,1951-08-27 08:00,1951-08-27 08:00,0.014,--,1.0
8575512,1951-09-03 10:00,1951-09-03 11:00,1951-09-03 11:00,0.014,--,1.0
8575512,1951-09-06 23:00,1951-09-07 04:00,1951-09-07 02:00,0.136,--,5.0
8575512,1951-09-11 04:00,1951-09-11 11:00,1951-09-11 08:00,0.136,--,7.0
8575512,1951-09-13 08:00,1951-09-13 09:00,1951-09-13 09:00,0.014,--,1.0
8575512,1951-09-14 07:00,1951-09-14 11:00,1951-09-14 10:00,0.105,--,4.0
8575512,1951-09-14 20:00,1951-09-14 22:00,1951-09-14 21:00,0.044,--,2.0
8575512,1951-09-23 03:00,1951-09-23 08:00,1951-09-23 06:00,0.075,--,5.0
8575512,1951-09-25 05:00,1951-09-25 07:00,1951-09-25 07:00,0.014,--,2.0
8575512,1951-09-27 07:00,1951-09-27 10:00,1951-09-27 08:00,0.044,--,3.0
8575512,1951-09-27 19:00,1951-09-27 19:00,1951-09-27 19:00,0.014,--,0.0
8575512,1951-10-02 23:00,1951-10-03 00:00,1951-10-03 00:00,0.014,--,1.0
8575512,1951-10-06 00:00,1951-10-06 06:00,1951-10-06 03:00,0.136,--,6.0
8575512,1951-10-06 10:00,1951-10-06 15:00,1951-10-06 13:00,0.075,--,5.0
8575512,1951-10-07 02:00,1951-10-07 03:00,1951-10-07 03:00,0.014,--,1.0
8575512,1951-10-08 01:00,1951-10-08 08:00,1951-10-08 04:00,0.197,--,7.0
8575512,1951-10-12 07:00,1951-10-12 09:00,1951-10-12 09:00,0.014,--,2.0
8575512,1951-10-12 19:00,1951-10-12 20:00,1951-10-12 20:00,0.014,--,1.0
8575512,1951-10-18 23:00,1951-10-19 04:00,1951-10-19 01:00,0.105,--,5.0
8575512,1951-10-19 11:00,1951-10-19 13:00,1951-10-19 13:00,0.014,--,2.0
8575512,1951-10-19 22:00,1951-10-20 05:00,1951-10-20 01:00,0.166,--,7.0
8575512,1951-10-21 03:00,1951-10-21 03:00,1951-10-21 03:00,0.014,--,0.0
8575512,1951-10-21 12:00,1951-10-21 14:00,1951-10-21 14:00,0.014,--,2.0
8575512,1951-10-22 01:00,1951-10-22 04:00,1951-10-22 03:00,0.044,--,3.0
8575512,1951-11-03 00:00,1951-11-03 02:00,1951-11-03 02:00,0.014,--,2.0
8575512,1951-11-07 06:00,1951-11-08 07:00,1951-11-07 17:00,0.532,--,25.0
8575512,1951-11-13 22:00,1951-11-13 22:00,1951-11-13 22:00,0.014,--,0.0
8575512,1951-11-14 20:00,1951-11-15 01:00,1951-11-14 23:00,0.136,--,5.0
8575512,1951-12-02 00:00,1951-12-02 01:00,1951-12-02 01:00,0.014,--,1.0
8575512,1951-12-05 01:00,1951-12-05 05:00,1951-12-05 03:00,0.075,--,4.0
8575512,1951-12-05 14:00,1951-12-05 15:00,1951-12-05 15:00,0.014,--,1.0
8575512,1952-01-08 19:00,1952-01-09 12:00,1952-01-09 09:00,0.197,--,17.0
8575512,1952-01-09 15:00,1952-01-10 01:00,1952-01-09 21:00,0.258,--,10.0
8575512,1952-01-23 05:00,1952-01-23 06:00,1952-01-23 06:00,0.014,--,1.0
8575512,1952-02-04 14:00,1952-02-04 22:00,1952-02-04 18:00,0.166,--,8.0
8575512,1952-02-05 02:00,1952-02-05 06:00,1952-02-05 06:00,0.044,--,4.0
8575512,1952-02-17 14:00,1952-02-17 15:00,1952-02-17 15:00,0.014,--,1.0
8575512,1952-02-28 10:00,1952-02-28 14:00,1952-02-28 12:00,0.105,--,4.0
8575512,1952-02-28 23:00,1952-02-29 02:00,1952-02-29 01:00,0.075,--,3.0
8575512,1952-02-29 10:00,1952-02-29 15:00,1952-02-29 13:00,0.136,--,5.0
8575512,1952-03-03 15:00,1952-03-03 16:00,1952-03-03 16:00,0.014,--,1.0
8575512,1952-03-11 07:00,1952-03-12 02:00,1952-03-11 21:00,0.471,--,19.0
8575512,1952-03-19 13:00,1952-03-20 03:00,1952-03-19 17:00,0.197,--,14.0
8575512,1952-04-05 16:00,1952-04-05 23:00,1952-04-05 18:00,0.197,--,7.0
8575512,1952-04-14 10:00,1952-04-14 15:00,1952-04-14 13:00,0.136,--,5.0
8575512,1952-04-30 14:00,1952-04-30 16:00,1952-04-30 15:00,0.044,--,2.0
8575512,1952-05-06 06:00,1952-05-06 11:00,1952-05-06 09:00,0.075,--,5.0
8575512,1952-05-09 09:00,1952-05-09 10:00,1952-05-09 10:00,0.014,--,1.0
8575512,1952-05-10 10:00,1952-05-10 11:00,1952-05-10 11:00,0.014,--,1.0
8575512,1952-05-11 10:00,1952-05-11 13:00,1952-05-11 12:00,0.075,--,3.0
8575512,1952-05-12 09:00,1952-05-12 15:00,1952-05-12 12:00,0.197,--,6.0
8575512,1952-05-18 05:00,1952-05-18 06:00,1952-05-18 06:00,0.014,--,1.0
8575512,1952-05-19 17:00,1952-05-19 18:00,1952-05-19 18:00,0.014,--,1.0
8575512,1952-05-20 07:00,1952-05-20 08:00,1952-05-20 08:00,0.014,--,1.0
8575512,1952-05-24 10:00,1952-05-24 12:00,1952-05-24 11:00,0.044,--,2.0
8575512,1952-05-25 07:00,1952-05-25 17:00,1952-05-25 12:00,0.288,--,10.0
8575512,1952-05-25 23:00,1952-05-25 23:00,1952-05-25 23:00,0.014,--,0.0
8575512,1952-05-26 11:00,1952-05-26 12:00,1952-05-26 12:00,0.014,--,1.0
8575512,1952-06-04 06:00,1952-06-04 09:00,1952-06-04 08:00,0.044,--,3.0
8575512,1952-06-05 07:00,1952-06-05 09:00,1952-06-05 08:00,0.044,--,2.0
8575512,1952-06-09 10:00,1952-06-09 12:00,1952-06-09 11:00,0.044,--,2.0
8575512,1952-06-15 04:00,1952-06-15 05:00,1952-06-15 05:00,0.014,--,1.0
8575512,1952-06-21 09:00,1952-06-21 10:00,1952-06-21 10:00,0.014,--,1.0
8575512,1952-07-01 13:00,1952-07-01 19:00,1952-07-01 16:00,0.197,--,6.0
8575512,1952-07-02 03:00,1952-07-02 07:00,1952-07-02 06:00,0.075,--,4.0
8575512,1952-07-04 07:00,1952-07-04 08:00,1952-07-04 08:00,0.014,--,1.0
8575512,1952-07-09 09:00,1952-07-09 14:00,1952-07-09 11:00,0.136,--,5.0
8575512,1952-08-05 08:00,1952-08-05 12:00,1952-08-05 10:00,0.105,--,4.0
8575512,1952-08-10 12:00,1952-08-10 14:00,1952-08-10 14:00,0.044,--,2.0
8575512,1952-08-16 05:00,1952-08-16 11:00,1952-08-16 07:00,0.136,--,6.0
8575512,1952-08-16 17:00,1952-08-16 19:00,1952-08-16 19:00,0.014,--,2.0
8575512,1952-08-21 22:00,1952-08-21 23:00,1952-08-21 23:00,0.014,--,1.0
8575512,1952-08-29 02:00,1952-08-29 06:00,1952-08-29 04:00,0.075,--,4.0
8575512,1952-09-01 04:00,1952-09-02 00:00,1952-09-01 19:00,0.593,--,20.0
8575512,1952-09-08 23:00,1952-09-09 04:00,1952-09-09 02:00,0.136,--,5.0
8575512,1952-09-10 01:00,1952-09-10 06:00,1952-09-10 04:00,0.105,--,5.0
8575512,1952-09-15 16:00,1952-09-15 23:00,1952-09-15 21:00,0.166,--,7.0
8575512,1952-09-16 06:00,1952-09-16 08:00,1952-09-16 08:00,0.014,--,2.0
8575512,1952-09-19 09:00,1952-09-19 12:00,1952-09-19 11:00,0.075,--,3.0
8575512,1952-10-02 08:00,1952-10-02 10:00,1952-10-02 09:00,0.044,--,2.0
8575512,1952-10-02 19:00,1952-10-02 21:00,1952-10-02 21:00,0.105,--,2.0
8575512,1952-10-13 05:00,1952-10-13 07:00,1952-10-13 06:00,0.044,--,2.0
8575512,1952-10-28 06:00,1952-10-28 06:00,1952-10-28 06:00,0.014,--,0.0
8575512,1952-11-18 22:00,1952-11-19 00:00,1952-11-19 00:00,0.044,--,2.0
8575512,1952-11-19 22:00,1952-11-20 03:00,1952-11-20 01:00,0.166,--,5.0
8575512,1952-11-20 08:00,1952-11-20 15:00,1952-11-20 12:00,0.136,--,7.0
8575512,1952-11-20 19:00,1952-11-21 13:00,1952-11-21 01:00,0.410,--,18.0
8575512,1952-11-21 16:00,1952-11-23 16:00,1952-11-22 02:00,0.532,--,48.0
8575512,1952-11-24 01:00,1952-11-24 04:00,1952-11-24 03:00,0.075,--,3.0
8575512,1952-11-27 05:00,1952-11-27 06:00,1952-11-27 06:00,0.014,--,1.0
8575512,1952-12-02 23:00,1952-12-03 00:00,1952-12-02 23:00,0.044,--,1.0
8575512,1952-12-04 22:00,1952-12-05 16:00,1952-12-05 02:00,0.197,--,18.0
8575512,1952-12-05 20:00,1952-12-06 05:00,1952-12-06 01:00,0.258,--,9.0
8575512,1952-12-10 16:00,1952-12-10 19:00,1952-12-10 17:00,0.044,--,3.0
8575512,1952-12-11 00:00,1952-12-11 18:00,1952-12-11 07:00,0.197,--,18.0
8575512,1952-12-23 01:00,1952-12-23 07:00,1952-12-23 04:00,0.136,--,6.0
8575512,1952-12-23 11:00,1952-12-24 08:00,1952-12-24 03:00,0.288,--,21.0
8575512,1952-12-24 13:00,1952-12-24 19:00,1952-12-24 16:00,0.166,--,6.0
8575512,1953-01-02 21:00,1953-01-03 02:00,1953-01-03 00:00,0.136,--,5.0
8575512,1953-01-04 00:00,1953-01-04 01:00,1953-01-04 01:00,0.014,--,1.0
8575512,1953-01-10 17:00,1953-01-10 21:00,1953-01-10 19:00,0.044,--,4.0
8575512,1953-01-11 03:00,1953-01-11 06:00,1953-01-11 06:00,0.014,--,3.0
8575512,1953-01-11 17:00,1953-01-11 22:00,1953-01-11 19:00,0.105,--,5.0
8575512,1953-01-13 19:00,1953-01-13 22:00,1953-01-13 21:00,0.075,--,3.0
8575512,1953-01-23 03:00,1953-01-23 06:00,1953-01-23 05:00,0.044,--,3.0
8575512,1953-01-23 14:00,1953-01-23 20:00,1953-01-23 17:00,0.166,--,6.0
8575512,1953-01-24 04:00,1953-01-24 04:00,1953-01-24 04:00,0.014,--,0.0
8575512,1953-01-24 14:00,1953-01-25 04:00,1953-01-24 20:00,0.410,--,14.0
8575512,1953-01-28 19:00,1953-01-28 22:00,1953-01-28 21:00,0.044,--,3.0
8575512,1953-02-06 14:00,1953-02-06 16:00,1953-02-06 16:00,0.014,--,2.0
8575512,1953-02-13 21:00,1953-02-13 22:00,1953-02-13 22:00,0.014,--,1.0
8575512,1953-02-21 17:00,1953-02-21 18:00,1953-02-21 18:00,0.014,--,1.0
8575512,1953-03-16 10:00,1953-03-16 10:00,1953-03-16 10:00,0.014,--,0.0
8575512,1953-03-24 16:00,1953-03-24 20:00,1953-03-24 18:00,0.105,--,4.0
8575512,1953-03-29 08:00,1953-03-29 10:00,1953-03-29 10:00,0.044,--,2.0
8575512,1953-04-01 11:00,1953-04-01 12:00,1953-04-01 12:00,0.014,--,1.0
8575512,1953-04-02 11:00,1953-04-02 13:00,1953-04-02 13:00,0.044,--,2.0
8575512,1953-04-04 13:00,1953-04-04 14:00,1953-04-04 14:00,0.014,--,1.0
8575512,1953-04-07 12:00,1953-04-07 19:00,1953-04-07 16:00,0.166,--,7.0
8575512,1953-04-09 03:00,1953-04-09 22:00,1953-04-09 18:00,0.288,--,19.0
8575512,1953-04-10 04:00,1953-04-10 08:00,1953-04-10 07:00,0.075,--,4.0
8575512,1953-04-10 18:00,1953-04-10 20:00,1953-04-10 19:00,0.044,--,2.0
8575512,1953-04-12 07:00,1953-04-12 10:00,1953-04-12 09:00,0.075,--,3.0
8575512,1953-05-01 11:00,1953-05-01 12:00,1953-05-01 12:00,0.014,--,1.0
8575512,1953-05-03 22:00,1953-05-04 03:00,1953-05-04 01:00,0.105,--,5.0
8575512,1953-05-12 08:00,1953-05-12 10:00,1953-05-12 09:00,0.075,--,2.0
8575512,1953-05-13 09:00,1953-05-13 12:00,1953-05-13 11:00,0.075,--,3.0
8575512,1953-05-14 10:00,1953-05-14 11:00,1953-05-14 11:00,0.014,--,1.0
8575512,1953-05-15 11:00,1953-05-15 13:00,1953-05-15 13:00,0.014,--,2.0
8575512,1953-05-17 13:00,1953-05-17 14:00,1953-05-17 14:00,0.014,--,1.0
8575512,1953-05-22 04:00,1953-05-22 21:00,1953-05-22 17:00,0.227,--,17.0
8575512,1953-05-25 08:00,1953-05-25 08:00,1953-05-25 08:00,0.014,--,0.0
8575512,1953-05-30 09:00,1953-05-30 16:00,1953-05-30 13:00,0.197,--,7.0
8575512,1953-05-31 11:00,1953-05-31 15:00,1953-05-31 12:00,0.075,--,4.0
8575512,1953-05-31 23:00,1953-06-01 02:00,1953-06-01 01:00,0.044,--,3.0
8575512,1953-06-01 08:00,1953-06-01 17:00,1953-06-01 13:00,0.288,--,9.0
8575512,1953-06-09 08:00,1953-06-09 09:00,1953-06-09 09:00,0.014,--,1.0
8575512,1953-06-13 09:00,1953-06-13 15:00,1953-06-13 12:00,0.166,--,6.0
8575512,1953-06-15 10:00,1953-06-15 17:00,1953-06-15 14:00,0.166,--,7.0
8575512,1953-06-15 23:00,1953-06-16 01:00,1953-06-16 01:00,0.014,--,2.0
8575512,1953-06-18 00:00,1953-06-18 06:00,1953-06-18 03:00,0.166,--,6.0
8575512,1953-06-25 07:00,1953-06-25 11:00,1953-06-25 09:00,0.075,--,4.0
8575512,1953-06-26 09:00,1953-06-26 10:00,1953-06-26 10:00,0.014,--,1.0
8575512,1953-06-27 09:00,1953-06-27 11:00,1953-06-27 10:00,0.044,--,2.0
8575512,1953-07-07 06:00,1953-07-07 08:00,1953-07-07 07:00,0.044,--,2.0
8575512,1953-07-14 10:00,1953-07-14 13:00,1953-07-14 12:00,0.075,--,3.0
8575512,1953-07-23 03:00,1953-07-23 20:00,1953-07-23 08:00,0.258,--,17.0
8575512,1953-08-04 03:00,1953-08-04 09:00,1953-08-04 07:00,0.166,--,6.0
8575512,1953-08-05 04:00,1953-08-05 11:00,1953-08-05 08:00,0.166,--,7.0
8575512,1953-08-07 06:00,1953-08-07 11:00,1953-08-07 09:00,0.105,--,5.0
8575512,1953-08-08 08:00,1953-08-08 11:00,1953-08-08 10:00,0.075,--,3.0
8575512,1953-08-08 19:00,1953-08-09 00:00,1953-08-08 21:00,0.105,--,5.0
8575512,1953-08-09 06:00,1953-08-09 13:00,1953-08-09 10:00,0.166,--,7.0
8575512,1953-08-15 22:00,1953-08-16 05:00,1953-08-16 02:00,0.197,--,7.0
8575512,1953-08-22 06:00,1953-08-22 10:00,1953-08-22 09:00,0.075,--,4.0
8575512,1953-08-23 07:00,1953-08-23 10:00,1953-08-23 09:00,0.075,--,3.0
8575512,1953-09-05 05:00,1953-09-05 12:00,1953-09-05 09:00,0.166,--,7.0
8575512,1953-09-05 20:00,1953-09-05 21:00,1953-09-05 21:00,0.014,--,1.0
8575512,1953-09-12 22:00,1953-09-13 06:00,1953-09-13 01:00,0.197,--,8.0
8575512,1953-09-18 06:00,1953-09-18 07:00,1953-09-18 07:00,0.014,--,1.0
8575512,1953-09-19 06:00,1953-09-19 08:00,1953-09-19 08:00,0.014,--,2.0
8575512,1953-09-19 17:00,1953-09-19 19:00,1953-09-19 19:00,0.014,--,2.0
8575512,1953-09-20 05:00,1953-09-20 10:00,1953-09-20 08:00,0.166,--,5.0
8575512,1953-09-20 17:00,1953-09-20 20:00,1953-09-20 19:00,0.044,--,3.0
8575512,1953-09-25 23:00,1953-09-26 01:00,1953-09-26 00:00,0.044,--,2.0
8575512,1953-09-28 01:00,1953-09-28 03:00,1953-09-28 02:00,0.044,--,2.0
8575512,1953-10-01 05:00,1953-10-01 07:00,1953-10-01 07:00,0.014,--,2.0
8575512,1953-10-06 20:00,1953-10-06 22:00,1953-10-06 22:00,0.044,--,2.0
8575512,1953-10-11 23:00,1953-10-12 15:00,1953-10-12 11:00,0.197,--,16.0
8575512,1953-10-22 20:00,1953-10-23 00:00,1953-10-22 23:00,0.075,--,4.0
8575512,1953-10-23 20:00,1953-10-24 16:00,1953-10-24 11:00,0.288,--,20.0
8575512,1953-10-24 18:00,1953-10-25 04:00,1953-10-24 23:00,0.380,--,10.0
8575512,1953-10-26 23:00,1953-10-27 05:00,1953-10-27 02:00,0.166,--,6.0
8575512,1953-10-27 13:00,1953-10-27 13:00,1953-10-27 13:00,0.014,--,0.0
8575512,1953-10-28 01:00,1953-10-28 04:00,1953-10-28 02:00,0.075,--,3.0
8575512,1953-10-29 03:00,1953-10-29 03:00,1953-10-29 03:00,0.014,--,0.0
8575512,1953-11-08 08:00,1953-11-08 12:00,1953-11-08 10:00,0.075,--,4.0
8575512,1953-11-23 00:00,1953-11-23 00:00,1953-11-23 00:00,0.014,--,0.0
8575512,1953-11-23 10:00,1953-11-23 12:00,1953-11-23 12:00,0.044,--,2.0
8575512,1953-11-25 00:00,1953-11-25 02:00,1953-11-25 01:00,0.044,--,2.0
8575512,1953-12-03 20:00,1953-12-03 22:00,1953-12-03 22:00,0.044,--,2.0
8575512,1953-12-04 07:00,1953-12-04 09:00,1953-12-04 08:00,0.044,--,2.0
8575512,1953-12-04 19:00,1953-12-05 02:00,1953-12-04 21:00,0.136,--,7.0
8575512,1953-12-14 15:00,1953-12-15 07:00,1953-12-15 04:00,0.197,--,16.0
8575512,1954-01-30 17:00,1954-01-30 21:00,1954-01-30 19:00,0.105,--,4.0
8575512,1954-02-21 23:00,1954-02-22 01:00,1954-02-22 00:00,0.044,--,2.0
8575512,1954-02-26 14:00,1954-02-26 19:00,1954-02-26 18:00,0.105,--,5.0
8575512,1954-02-28 17:00,1954-02-28 19:00,1954-02-28 19:00,0.014,--,2.0
8575512,1954-03-01 14:00,1954-03-02 04:00,1954-03-01 19:00,0.410,--,14.0
8575512,1954-03-20 08:00,1954-03-20 13:00,1954-03-20 11:00,0.166,--,5.0
8575512,1954-04-02 21:00,1954-04-02 22:00,1954-04-02 22:00,0.014,--,1.0
8575512,1954-04-16 19:00,1954-04-16 23:00,1954-04-16 21:00,0.075,--,4.0
8575512,1954-04-17 05:00,1954-04-17 14:00,1954-04-17 11:00,0.258,--,9.0
8575512,1954-04-29 16:00,1954-04-29 23:00,1954-04-29 20:00,0.197,--,7.0
8575512,1954-04-30 04:00,1954-04-30 10:00,1954-04-30 08:00,0.166,--,6.0
8575512,1954-05-03 09:00,1954-05-03 12:00,1954-05-03 11:00,0.075,--,3.0
8575512,1954-05-04 09:00,1954-05-04 11:00,1954-05-04 10:00,0.075,--,2.0
8575512,1954-05-06 11:00,1954-05-06 15:00,1954-05-06 14:00,0.075,--,4.0
8575512,1954-05-07 12:00,1954-05-07 17:00,1954-05-07 15:00,0.075,--,5.0
8575512,1954-05-07 23:00,1954-05-08 06:00,1954-05-08 03:00,0.136,--,7.0
8575512,1954-05-08 10:00,1954-05-08 18:00,1954-05-08 14:00,0.227,--,8.0
8575512,1954-05-15 08:00,1954-05-15 09:00,1954-05-15 09:00,0.014,--,1.0
8575512,1954-05-16 09:00,1954-05-16 11:00,1954-05-16 10:00,0.044,--,2.0
8575512,1954-05-17 09:00,1954-05-17 11:00,1954-05-17 10:00,0.044,--,2.0
8575512,1954-05-20 11:00,1954-05-20 13:00,1954-05-20 12:00,0.044,--,2.0
8575512,1954-05-29 06:00,1954-05-29 08:00,1954-05-29 08:00,0.044,--,2.0
8575512,1954-05-30 08:00,1954-05-30 09:00,1954-05-30 09:00,0.014,--,1.0
8575512,1954-06-01 09:00,1954-06-01 11:00,1954-06-01 10:00,0.075,--,2.0
8575512,1954-06-02 09:00,1954-06-02 12:00,1954-06-02 11:00,0.136,--,3.0
8575512,1954-06-04 11:00,1954-06-04 14:00,1954-06-04 13:00,0.075,--,3.0
8575512,1954-06-10 02:00,1954-06-10 10:00,1954-06-10 06:00,0.197,--,8.0
8575512,1954-06-10 15:00,1954-06-10 17:00,1954-06-10 17:00,0.014,--,2.0
8575512,1954-06-11 06:00,1954-06-11 07:00,1954-06-11 07:00,0.014,--,1.0
8575512,1954-06-13 08:00,1954-06-13 09:00,1954-06-13 09:00,0.044,--,1.0
8575512,1954-06-17 10:00,1954-06-17 13:00,1954-06-17 12:00,0.075,--,3.0
8575512,1954-06-17 20:00,1954-06-18 00:00,1954-06-17 23:00,0.075,--,4.0
8575512,1954-06-18 09:00,1954-06-18 14:00,1954-06-18 12:00,0.105,--,5.0
8575512,1954-06-19 11:00,1954-06-19 13:00,1954-06-19 13:00,0.014,--,2.0
8575512,1954-06-21 12:00,1954-06-21 14:00,1954-06-21 14:00,0.044,--,2.0
8575512,1954-06-27 07:00,1954-06-27 07:00,1954-06-27 07:00,0.014,--,0.0
8575512,1954-06-30 09:00,1954-06-30 11:00,1954-06-30 10:00,0.044,--,2.0
8575512,1954-07-01 11:00,1954-07-01 11:00,1954-07-01 11:00,0.014,--,0.0
8575512,1954-07-07 14:00,1954-07-07 17:00,1954-07-07 16:00,0.044,--,3.0
8575512,1954-07-10 06:00,1954-07-10 06:00,1954-07-10 06:00,0.014,--,0.0
8575512,1954-07-12 07:00,1954-07-12 08:00,1954-07-12 08:00,0.014,--,1.0
8575512,1954-07-18 12:00,1954-07-18 12:00,1954-07-18 12:00,0.014,--,0.0
8575512,1954-07-19 00:00,1954-07-19 00:00,1954-07-19 00:00,0.014,--,0.0
8575512,1954-08-03 12:00,1954-08-03 13:00,1954-08-03 13:00,0.014,--,1.0
8575512,1954-08-09 07:00,1954-08-09 08:00,1954-08-09 08:00,0.014,--,1.0
8575512,1954-08-09 16:00,1954-08-09 19:00,1954-08-09 17:00,0.044,--,3.0
8575512,1954-08-23 05:00,1954-08-23 06:00,1954-08-23 06:00,0.014,--,1.0
8575512,1954-08-28 09:00,1954-08-28 11:00,1954-08-28 10:00,0.044,--,2.0
8575512,1954-08-30 23:00,1954-08-31 00:00,1954-08-31 00:00,0.014,--,1.0
8575512,1954-09-01 00:00,1954-09-01 02:00,1954-09-01 02:00,0.044,--,2.0
8575512,1954-09-01 12:00,1954-09-01 12:00,1954-09-01 12:00,0.014,--,0.0
8575512,1954-09-10 19:00,1954-09-10 20:00,1954-09-10 20:00,0.014,--,1.0
